@relation satisfacao_delivery

@attribute tempo_entrega numeric
@attribute comunicacao_entregador numeric
@attribute atualizacoes_status numeric
@attribute facilidade_contato {facil,media,dificil}
@attribute resposta_suporte numeric
@attribute problema_resolvido {sim,nao,nao_houve}
@attribute satisfacao {Alta,Media,Baixa}

@data
32,5,8,facil,3,sim,Alta
28,4,7,facil,5,nao_houve,Alta
35,5,9,facil,2,sim,Alta
40,4,6,facil,4,nao_houve,Alta
25,5,5,facil,6,sim,Alta
38,4,8,facil,3,nao_houve,Alta
42,5,7,facil,5,sim,Alta
30,4,9,facil,2,nao_houve,Alta
36,5,6,facil,4,sim,Alta
44,4,8,facil,7,nao_houve,Alta
27,5,7,facil,3,sim,Alta
39,4,5,facil,5,nao_houve,Alta
33,5,9,facil,2,sim,Alta
41,4,6,facil,6,nao_houve,Alta
29,5,8,facil,4,sim,Alta
37,4,7,facil,3,nao_houve,Alta
43,5,5,facil,5,sim,Alta
31,4,9,facil,2,nao_houve,Alta
45,5,6,facil,4,sim,Alta
26,4,8,facil,6,nao_houve,Alta
34,5,7,facil,3,sim,Alta
40,4,9,facil,5,nao_houve,Alta
38,5,5,facil,2,sim,Alta
42,4,8,facil,4,nao_houve,Alta
30,5,6,facil,7,sim,Alta
35,4,7,facil,3,nao_houve,Alta
28,5,9,facil,5,sim,Alta
44,4,5,facil,2,nao_houve,Alta
32,5,8,facil,4,sim,Alta
39,4,6,facil,6,nao_houve,Alta
36,5,7,facil,3,sim,Alta
41,4,9,facil,5,nao_houve,Alta
27,5,5,facil,2,sim,Alta
43,4,8,facil,4,nao_houve,Alta
33,5,6,facil,7,sim,Alta
37,4,7,facil,3,nao_houve,Alta
45,5,9,facil,5,sim,Alta
29,4,5,facil,2,nao_houve,Alta
40,5,8,facil,4,sim,Alta
31,4,6,facil,6,nao_houve,Alta
38,5,7,facil,3,sim,Alta
34,4,9,facil,5,nao_houve,Alta
42,5,5,facil,2,sim,Alta
26,4,8,facil,4,nao_houve,Alta
35,5,6,facil,7,sim,Alta
